source,algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
HalfCheetah-v5,1,0.0010936921103111,0.846122831287301,,,0.9258798492631386,0.901652079107206,,,,398.6603420333333,80.19864384517382,-361.1640588052091,102.65146789697938,759.8244008385424,3
HalfCheetah-v5,1,0.0001607215810141,0.8723024507032542,,,0.9324880651616356,0.4887897714092564,,,,9.98444989999996,185.36623111043448,-25.727719527781176,41.057310620366856,35.71216942778116,3
HalfCheetah-v5,1,0.0008246656355412,0.9145476732149436,,,0.987645962207792,0.985530168124826,,,,563.2370121666667,204.0166970745245,-295.7100967637824,96.23257184151544,858.9471089304492,3
HalfCheetah-v5,1,0.0022253038933634,0.8402001983116546,,,0.9598668903530816,0.4837206410446151,,,,-80.00393933333334,64.29096499528977,-632.1010372486344,95.49444900475402,552.0970979153011,3
HalfCheetah-v5,1,0.0050373328462031,0.992740108000022,,,0.9278791561213956,0.7789772768265436,,,,-729.0056758333334,211.67343606402065,-596.995903228639,95.56427566400389,-132.00977260469435,3
HalfCheetah-v5,1,0.0001679179619305,0.9777563268837648,,,0.9648618948146196,0.63453629914263,,,,610.5070168,38.36131788681556,-163.9679932202643,71.7370527284974,774.4750100202642,3
HalfCheetah-v5,1,0.001200705124899,0.9796494539847506,,,0.9337074540288252,0.7625775720433753,,,,-361.1950121,140.41152150605774,-409.67229335191104,125.9769411505359,48.477281251911,3
HalfCheetah-v5,1,0.0006395077037413,0.8106922178922183,,,0.9098734849738188,0.374547310440914,,,,647.8050871666667,96.88810994305456,-72.02565634906973,62.59597082904333,719.8307435157363,3
HalfCheetah-v5,1,0.0041712173583954,0.8167008999661096,,,0.925447752605512,0.658218314192909,,,,-122.09282930000003,126.97834839584964,-594.2589954578528,48.65544592587438,472.16616615785273,3
HalfCheetah-v5,1,0.0006766045552174,0.8597242211414876,,,0.9772895458482288,0.4717709699948992,,,,513.3821321333334,253.5438822031373,-162.91270038838252,91.08717701709516,676.2948325217159,3
HalfCheetah-v5,1,0.0011528903437272,0.8745907878624478,,,0.9772962954131378,0.4581583964430121,,,,-172.8148259666667,172.9690098410381,-369.4840366159977,73.3359504524361,196.66921064933103,3
HalfCheetah-v5,1,0.0015610575175974,0.8627305812471837,,,0.9366954579968372,0.6677517955769576,,,,-67.21092186666664,353.4427295678499,-400.78177297051343,75.27948640641914,333.57085110384685,3
HalfCheetah-v5,1,0.000226682313062,0.8408433872761789,,,0.9090356610533562,0.7251998557015076,,,,355.4841065333333,218.09242925904096,-108.47780414988544,73.11430318749078,463.9619106832187,3
HalfCheetah-v5,1,0.0017534730994538,0.8931970937626822,,,0.9398243558524276,0.7575102182301119,,,,-373.57314270000006,218.1868580909597,-301.4457745919561,79.45620410245839,-72.12736810804397,3
HalfCheetah-v5,1,0.0005239406421163,0.9280283801342236,,,0.943138245326044,0.726381097882038,,,,845.6897393,217.73576565166047,-31.71064164481481,52.2241812368023,877.4003809448149,3
HalfCheetah-v5,1,0.0030862991404339,0.8446793065606715,,,0.9093239858760768,0.9851365420613382,,,,-378.0082289666668,84.91523455351687,-532.4707590411655,74.78261423469385,154.46253007449877,3
HalfCheetah-v5,1,0.0020591837552137,0.8567089269331303,,,0.9256450633154112,0.8023184198193387,,,,-404.9549835,281.9009018519505,-516.3033254348867,85.42384942406402,111.34834193488676,3
HalfCheetah-v5,1,0.003012458580657,0.8709637255237358,,,0.972070142514229,0.2824178849139703,,,,-489.74889663333335,76.0706838002851,-582.556552285071,141.42954360159862,92.8076556517376,3
HalfCheetah-v5,1,0.0036612202999886,0.98135273100263,,,0.9613418786167732,0.47886806169439,,,,-443.9977466,99.90988926851098,-541.0477617016918,125.85199518889824,97.05001510169188,3
HalfCheetah-v5,1,0.0002915130287203,0.9377115021312472,,,0.9004265770378701,0.8518741973524451,,,,382.5342113,321.89689257904337,-176.2194313727454,58.90216801019641,558.7536426727455,3
HalfCheetah-v5,1,0.0009082897904161,0.9547265494401492,,,0.9394353656307683,0.7056010788867332,,,,646.3285070000001,118.684649607377,-355.45974143862304,74.86845013513549,1001.7882484386232,3
HalfCheetah-v5,1,0.0004239582985413,0.9269349803254048,,,0.923873411901224,0.4338135136501189,,,,643.7408092666666,77.47681996546403,-269.6840497401229,73.12035536525161,913.4248590067896,3
HalfCheetah-v5,1,0.0056262200949484,0.9214309061653908,,,0.9589455479612312,0.9243162392256647,,,,-469.308762,96.487375887391,-596.9424382192994,175.1153804873262,127.63367621929945,3
HalfCheetah-v5,1,0.0001707870228467,0.9752938555652256,,,0.9638031044021712,0.4869510774493031,,,,341.86952973333337,41.42088572327887,-117.3116868268005,57.73383761293864,459.1812165601338,3
HalfCheetah-v5,1,0.0002675244017472,0.8718286118605767,,,0.9439456585913548,0.9707945338287314,,,,669.5032916333333,340.80816431934016,-179.25985959000272,95.59687061592194,848.7631512233361,3
HalfCheetah-v5,1,0.0033262009387342,0.8170434354735878,,,0.9525084144091824,0.7947095726971484,,,,-2.8966215666666435,83.33374729387901,-546.0703164850411,39.0348082044304,543.1736949183745,3
HalfCheetah-v5,1,0.0021560601142168,0.8296668913867943,,,0.9025932469518572,0.3727100981102869,,,,-109.02773463333337,137.93244570192286,-614.6683741303763,91.74472156728216,505.64063949704286,3
HalfCheetah-v5,1,0.0064637237568062,0.9597025572962792,,,0.945383797547916,0.5735568078206795,,,,-397.8277172333333,85.72933373605808,-600.1432716941931,149.3113078071859,202.31555446085983,3
HalfCheetah-v5,1,0.0001255061149827,0.9895016895268876,,,0.9365155495766933,0.525935117224722,,,,365.8841170333333,36.924535225489855,-133.38501218511217,23.744749044311963,499.2691292184456,3
HalfCheetah-v5,1,0.0002467332272386,0.8967317058421886,,,0.9491411193585728,0.5184237361463346,,,,436.08548233333335,186.8956674031228,-63.76169799489963,74.84232124249823,499.8471803282329,3
HalfCheetah-v5,1,0.003381849432515,0.9945107416977176,,,0.9672010635234168,0.3473221221021444,,,,-361.5307861333334,114.6912115775196,-606.1085481587007,74.67024587185091,244.57776202536735,3
HalfCheetah-v5,1,0.0004573389215006,0.9366488328603594,,,0.9363662818542376,0.8924507714071148,,,,631.5504703333332,129.82135355399078,-181.75899707291515,75.89838710209155,813.3094674062485,3
HalfCheetah-v5,1,0.0014260475456276,0.9719624305942124,,,0.9391171550041546,0.8397170943581056,,,,441.7596458,168.31043491273851,-594.310087977569,85.03423557692693,1036.069733777569,3
HalfCheetah-v5,1,0.0032364523163736,0.84252378400984,,,0.9164416282007052,0.7805010500092808,,,,-576.4340874333333,127.22669857900262,-440.3890303715023,130.35498709977767,-136.0450570618309,3
HalfCheetah-v5,1,0.0003797782645321,0.8955899348370415,,,0.9706119804431638,0.8130286123751602,,,,650.6475027333333,172.3894279501278,-124.46911773305672,44.80130420210141,775.11662046639,3
HalfCheetah-v5,1,0.000802022003455,0.8387379941517688,,,0.9768999891731754,0.9893647819510978,,,,-86.85414743333332,147.13867029667566,-344.6111585308222,43.54433069516768,257.7570110974888,3
HalfCheetah-v5,1,0.000587324469097,0.8977900178990527,,,0.9202763312055144,0.901106679020682,,,,559.7182138333334,260.97563195608365,-256.9100722915545,99.75513587136128,816.6282861248878,3
HalfCheetah-v5,1,0.0002077061381483,0.8897412245896578,,,0.9870817417576968,0.5361886832551495,,,,589.8344315999999,183.4005529572736,-64.47902757772484,105.79237631475786,654.3134591777248,3
